NODE_ID,NODE_NAME,SI_CODE,GU_CODE,X,Y,Longitude,Latitude,Radius,trafficlight_num,crosswalk_num,station_num,school_num,land_price,house_1,house_2,house_3,house_4,commerce_1,commerce_2,commerce_3,commerce_4,green_1,green_2,green_3,industry_1,industry_2,industry_3,limit,mediansep_,island_num,mean_lanes,mean_speed,mean_wth,mean_loadlen,busstop_num,police_num,CtoC_num,CtoP_num,total_acc
1340012200,-,B,GG,1139638.335,1686586.772,129.0332749,35.16485914,40,0,0,0,2,4964519.085,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.333,46.667,11.5,1171.333,0,0,17,11,28
1340010300,-,B,GG,1141672.314,1686201.388,129.0555352,35.16110064,40,0,0,0,0,37822315.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50,14.667,890.333,0,0,16,10,26
1340012400,-,B,GG,1139977.554,1686632.73,129.0370062,35.16522621,40,16,4,0,0,24717876.32,0,0.542279578,0,0.038314985,0,0,0.419405436,0,0,0,0,0,0,0,0,0,0,1.333,43.333,10.52,1292.2,0,0,30,18,48
1370014500,-,B,HH,1138006.897,1697782.671,129.0172439,35.26600383,40,0,0,1,1,5928125.474,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,40,10.5,354.25,0,0,3,2,5
1370008000,-,B,HH,1137448.391,1691902.506,129.0101226,35.21307721,40,10,1,1,2,6350364.727,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,55,11,754.333,0,0,17,5,22
1370006200,-,B,HH,1139634.855,1691391.895,129.0340507,35.20817264,40,0,0,0,0,4192160.785,0,0.791732658,0.208267341,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,30,9.667,522,1,0,2,1,3
1370007700,-,B,HH,1139833.784,1691820.541,129.0363082,35.21200871,40,5,0,1,0,13436467.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,45,10.411,229,2,0,20,11,31
1370005400,-,B,HH,1139572.029,1690840.061,129.0332672,35.20320721,40,10,1,0,3,850803.1988,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,13.5,452.5,0,0,2,2,4
1370014100,-,B,HH,1137947.683,1697454.956,129.0165381,35.26305802,40,8,1,0,2,1130558.033,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,50,10,500.5,0,0,5,5,10
1370008300,-,B,HH,1138499.334,1692068.256,129.0216934,35.21442671,40,12,2,1,0,4122979.208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,55,11,929.333,0,0,27,13,40
1370010300,-,B,HH,1137187.828,1693989.398,129.0076086,35.23192408,40,12,2,0,2,6227287.281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.333,46.667,11.5,1639.5,0,1,12,1,13
1370007500,-,B,HH,1139530.193,1691697.806,129.0329531,35.21094464,40,0,0,0,1,462367.5185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30,14.5,416.5,0,0,2,3,5
1370006500,덕천주공아파트,B,HH,1137589.25,1691418.685,129.0115888,35.20869674,40,13,1,0,0,8563849.676,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,45,9.08,1078.6,0,0,29,7,36
1440014700,-,B,II,1135367.301,1688787.882,128.9867531,35.18528468,40,6,1,0,0,18817763.07,0,0.393639914,0.335992274,0,0,0,0,0,0,0,0,0,0,0.270367811,0,0,0,1.5,55,10.75,1490,1,0,17,7,24
1440005700,-,B,II,1136661.142,1684576.685,129.0002617,35.1471493,40,0,0,0,0,13165131.41,0,0.936449847,0.063550152,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.333,43.333,9.833,644.167,0,0,12,7,19
1440008300,-,B,II,1136209.647,1685183.127,128.9954067,35.15267711,40,0,0,0,0,22714302.57,0,0,0.854557113,0,0,0,0,0,0,0,0,0,0,0.145442886,0,0,0,1.5,50,10.25,2809,2,0,8,1,9
1440012300,삼락2호교(동측),B,II,1134655.279,1687024.02,128.9786472,35.16948068,40,5,0,0,0,3182592.328,0,0.330644767,0.669355232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40,16,2714.333,2,0,14,5,19
1440000500,-,B,II,1134284.235,1681903.321,128.9737414,35.12337118,40,0,0,0,1,1531059.573,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,15.5,1393,2,0,0,1,1
1440006100,-,B,II,1134462.013,1684750.243,128.9761552,35.14901027,40,0,0,0,0,1934600.862,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,40,10,1165.667,0,0,2,1,3
1440015900,-,B,II,1135420.686,1688988.772,128.9873722,35.18708833,40,0,0,0,1,42944409.28,0,0.380094266,0,0.619905733,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,45,8.4,2225.4,2,0,13,4,17
1440004600,-,B,II,1134058.851,1684037.212,128.9716147,35.14263668,40,0,0,0,0,7595539.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,45,9,386,0,0,2,0,2
1440005800,-,B,II,1135280.239,1684591.923,128.9851092,35.14747339,40,7,1,0,1,3972253.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.333,43.333,12,1333.667,0,0,8,1,9
1440011600,-,B,II,1134989.237,1686765.777,128.982271,35.16710802,40,6,2,0,1,57972462.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.5,45,11.333,2143.333,1,1,14,16,30
1440002700,-,B,II,1134190.905,1682706.165,128.9728477,35.13062068,40,0,0,0,1,6565979.574,0,0.003590666,0,0.996409333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,13.5,9837,0,0,1,4,5
1390005200,-,B,JJ,1134509.868,1674679.118,128.9750437,35.05821986,40,0,0,0,1,20589294.01,0,0.760833855,0,0,0.239166144,0,0,0,0,0,0,0,0,0,0,0,1,1,30,15,1005,0,0,1,0,1
1390008200,-,B,JJ,1135535.533,1675327.972,128.9863938,35.06393155,40,0,0,0,2,27818.18334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,16,1661,0,0,4,4,8
